5,97752,0,4,1,1,43300,26,2077,4,6935,1
10,104860,0,3,1,1,28426,28,1150,3,6931,1
12,96522,0,5,1,1,61105,19,0,0,6924,1
16,28495,0,4,1,1,49442,15,0,0,6912,1
17,51890,0,4,1,1,48963,16,0,0,6910,1
19,91473,0,3,1,1,27408,17,0,0,6903,1
21,120576,0,5,1,1,58831,23,250,2,6896,1
29,59763,0,3,1,1,33772,20,100,1,7907,1
39,59990,0,3,1,1,27878,17,0,0,7854,1
42,10470,0,4,1,1,38094,26,0,0,7840,1
49,70312,0,3,1,1,34678,24,500,1,6875,1
53,118531,0,4,1,1,44577,38,0,0,6868,1
69,230715,0,3,1,1,24047,12,0,0,6826,1
71,47457,0,3,1,1,12621,16,0,0,7766,1
81,49238,0,4,1,1,38037,18,0,0,7801,1
82,38896,0,5,1,1,76988,16,556,1,7771,1
88,35418,0,5,1,1,58557,18,900,3,6813,1
95,78629,0,4,1,1,36679,25,0,0,6817,1
102,64824,0,3,1,1,20184,13,0,0,6770,1
103,25076,1182,5,1,1,57203,14,0,0,6750,1
108,3734,0,5,1,1,61096,18,150,2,6760,1
111,84674,0,4,1,1,46335,14,50,1,6738,1
112,15098,0,4,1,1,32917,26,550,3,6737,1
121,122705,0,3,1,1,24222,15,0,0,7682,1
125,81974,0,4,1,1,37266,18,1050,3,7661,1
126,47258,0,3,1,1,24768,19,0,0,7659,1
128,133954,500,4,1,1,37670,18,1500,3,7654,1
132,142175,0,4,1,1,37461,22,0,0,6732,1
137,125948,0,3,1,1,15155,15,0,0,6761,1
140,103302,0,4,1,1,53552,22,700,3,6718,1
150,50593,0,5,1,1,58208,17,1500,2,6689,1
153,77097,0,4,1,1,42403,22,1718,4,6683,1
157,48707,0,4,1,1,37655,14,0,0,7631,1
160,44182,0,3,1,1,12313,12,0,0,7619,1
161,228829,0,5,1,1,59852,21,0,0,7612,1
164,120700,0,5,1,1,55323,17,1500,1,7598,1
166,10302,0,4,1,1,30298,19,0,0,7591,1
167,80331,0,3,1,1,15489,18,0,0,7634,1
172,21694,0,4,1,1,45230,20,700,2,7575,1
173,71767,0,5,1,1,67335,13,0,0,7570,1
184,127807,0,3,1,1,17086,16,1500,3,7537,1
200,32742,0,5,1,1,61857,26,0,0,7488,1
203,118940,0,4,1,1,36001,17,150,1,7484,1
204,41385,0,4,1,1,26948,14,0,0,7481,1
207,152881,0,5,1,1,79687,18,500,1,7474,1
212,27381,0,3,1,1,18009,18,0,0,7524,1
217,8298,0,3,1,1,20087,15,0,0,7498,1
222,189053,0,3,1,1,24156,22,0,0,7439,1
225,229744,0,5,1,1,68754,35,550,2,7467,1
231,119239,0,4,1,1,36362,15,250,1,7467,1
234,133309,0,3,1,1,23987,13,0,0,7415,1
235,81380,0,5,1,1,56524,22,0,0,7404,1
239,182317,0,2,1,1,19489,17,273,1,7397,1
252,92875,0,5,1,1,60990,14,0,0,7344,1
257,45225,0,3,1,1,14711,15,0,0,7339,1
261,25279,0,2,1,1,14938,26,0,0,7327,1
269,105769,0,3,1,1,23097,16,0,0,7345,1
272,58703,0,4,1,1,46473,34,950,4,7296,1
273,70354,0,5,1,1,120907,22,0,0,7290,1
274,145726,0,3,1,1,19019,15,0,0,7292,1
275,121639,0,5,1,1,67286,7,0,0,7288,1
276,70676,0,5,1,1,74993,15,0,0,7288,1
281,120073,0,3,1,1,12423,29,0,0,7276,1
283,22652,0,5,1,1,57642,14,0,0,7271,1
285,44873,0,4,1,1,38740,18,850,2,7267,1
288,79211,0,4,1,1,36776,14,0,0,7260,1
289,98006,0,4,1,1,46349,20,2309,3,7332,1
290,33982,0,5,1,1,68320,17,0,0,7255,1
292,137908,0,5,1,1,57713,19,0,0,7250,1
