ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
22,185681,2024,1,1,1,13300,16,1800,9,6896,1
36,123759,0,4,1,1,50572,23,2500,5,7865,1
43,60313,0,1,1,1,10000,26,3250,9,7829,1
46,288865,967,1,1,1,23600,14,2000,4,6884,1
54,121395,0,1,1,1,4970,8,650,2,6889,1
60,95118,0,3,1,1,23188,23,2200,7,6865,1
90,609477,0,3,1,1,21422,22,1200,8,6820,0
93,20508,0,1,1,1,22250,8,1250,5,6794,1
96,143566,0,1,1,1,5000,5,1500,3,6785,1
106,28667,0,1,1,1,3861,7,2050,5,6749,1
109,96627,1182,1,1,3,49059,26,2300,9,6738,1
114,298911,0,1,1,1,8550,11,2550,8,7714,1
117,295638,0,1,1,1,5422,20,818,2,7700,1
128,133954,500,4,1,1,37670,18,1500,3,7654,1
136,101101,0,1,1,1,10850,11,1850,6,6725,1
141,160447,0,1,1,1,8578,25,0,0,6716,1
148,100640,0,1,1,1,7600,8,1600,5,6708,1
