ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
22,185681,2024,1,1,1,13300,16,1800,9,6896,1
23,20584,0,1,1,1,3450,11,3450,11,6884,0
43,60313,0,1,1,1,10000,26,3250,9,7829,1
44,619393,0,3,1,1,15008,14,0,0,7819,1
46,288865,967,1,1,1,23600,14,2000,4,6884,1
51,108137,0,1,1,1,6368,5,6368,5,6844,0
60,95118,0,3,1,1,23188,23,2200,7,6865,1
66,53914,0,3,1,1,33767,45,5550,29,6826,1
74,550367,0,3,1,1,12500,13,50,1,7801,0
90,609477,0,3,1,1,21422,22,1200,8,6820,0
97,185549,0,5,1,1,110859,39,2950,16,6778,1
114,298911,0,1,1,1,8550,11,2550,8,7714,1
115,124198,0,5,1,1,66330,23,4833,10,7710,0
117,295638,0,1,1,1,5422,20,818,2,7700,1
120,969559,0,1,1,1,2500,3,1000,2,7718,1
129,602064,0,5,1,1,194753,26,2250,10,7652,1
130,213150,0,4,1,1,56308,41,5200,14,7645,1
138,259484,1776,1,1,1,19172,26,7172,23,6723,1
154,930410,0,5,1,1,211284,18,2250,6,7640,1
165,152945,0,1,1,1,18604,6,3604,2,7598,1
176,149285,0,1,1,1,15656,13,3250,6,7561,1
190,707079,0,4,1,1,57173,40,3450,12,7523,1
195,143080,733,4,1,1,44373,38,3928,17,7575,1
205,28621,0,2,1,1,13878,20,1400,10,7479,1
224,1302051,2706,5,1,1,90653,32,3050,7,7467,1
241,285116,0,1,1,1,8471,18,500,1,7406,1
242,30962,0,5,1,1,97683,37,6400,18,7360,1
247,118934,0,5,1,1,66222,37,2250,17,7354,0
249,12526,0,4,1,1,56076,19,3850,11,7375,1
250,176090,0,1,1,1,5300,9,2200,6,7344,0
260,423540,0,1,1,1,8534,14,2100,9,7375,0
279,1704838,0,1,1,1,17108,32,4823,23,7283,1
302,149286,0,4,1,1,42141,30,2400,13,7222,1
311,383030,2998,1,1,1,8001,25,3226,15,7326,1
317,714717,0,5,1,1,119162,20,1750,4,7183,1
322,766419,0,1,1,1,11398,3,398,1,7162,1
327,278727,0,1,1,1,21666,19,9166,16,7155,1
329,455228,0,1,1,1,258,2,258,2,7141,1
331,388455,0,5,1,1,114329,26,6078,8,7164,1
348,112501,0,1,1,2,19140,11,0,0,7101,0
365,22080,0,1,1,1,12200,47,1950,9,7050,1
376,107707,0,3,1,1,19407,25,2211,12,7024,0
380,231,0,1,1,1,29900,24,5300,15,7015,1
385,377252,0,5,1,1,230629,30,6393,13,6996,1
410,507506,1952,5,1,1,102279,32,4485,13,8296,1
416,620498,0,5,1,1,25395,53,1750,14,8296,1
418,109640,0,4,1,1,66983,38,5500,17,8296,1
440,74579,0,1,1,1,4600,11,600,8,8289,1
448,14528,0,1,1,1,6000,7,3000,6,8289,0
450,192104,0,3,1,1,39010,53,1750,8,8289,1
451,106773,0,1,1,1,12900,10,1400,8,8289,1
